"Structure of NEW_SMILES [idcode]","NEW_SMILES","pIC50","amw","lipinskiHBA","lipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeavyAtoms","NumAtoms","NumHeteroatoms","NumAmideBonds","FractionCSP3","NumRings","NumAromaticRings","NumAliphaticRings","NumSaturatedRings","NumHeterocycles","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumSpiroAtoms","NumBridgeheadAtoms","NumAtomStereoCenters","NumUnspecifiedAtomStereoCenters","labuteASA","tpsa","CrippenClogP","CrippenMR","chi0v","chi1v","chi2v","chi3v","chi4v","chi0n","chi1n","chi2n","chi3n","chi4n","hallKierAlpha","kappa1","kappa2","kappa3","Phi","Shape Index","Molecular Flexibility","Molecular Complexity"
"fbu`a@CDlBPcHYEEDdeLhbefB|FBBHN@j@@@","CCc1cc(O)c(Oc2ccc(C#N)cc2F)cc1F","7.50863830616573","275.254","3","1","3","1","3","20","31","5","0","0.133333333333333","2","2","0","0","0","0","0","0","0","0","0","0","114.214753137775","53.25","3.89678","68.6318","10.6524625546169","5.93682094084471","2.78977882011587","2.78977882011587","1.7111486351416","10.6524625546169","5.93682094084471","2.78977882011587","2.78977882011587","1.7111486351416","-2.61","13.8131914346905","5.57413410295131","2.69460962087463","3.84982907233517","0.65","0.48096","0.70798"
"fj}Q@@IF@eMklklklyhr\t@EKT@DP@@","COc1ccc(-c2c[nH]c(Cc3ccc(C)cc3)n2)cc1","4.1791420105603","278.355","3","1","4","1","2","21","39","3","0","0.166666666666667","3","3","0","0","1","1","0","0","0","0","0","0","124.182771506283","37.91","3.98452","84.5607","12.258721089857","6.98677749166376","3.50886567005947","3.50886567005947","2.26111378094198","12.258721089857","6.98677749166376","3.50886567005947","3.50886567005947","2.26111378094198","-2.55","13.4338535159402","5.8339498889613","3.13514284746566","3.73202039179247","0.71429","0.5044","0.68153"
"fj}PA@IFADDbLbbbfTJrTRVxKQdy`bBVh@H`@@","Cc1ccc(Cn2cnc(-c3cccc(Cl)c3Cl)c2)cc1","5.0","317.219","2","0","3","0","2","21","35","4","0","0.117647058823529","3","3","0","0","1","1","0","0","0","0","0","0","133.520788102738","17.82","5.21362","87.964","13.0654732329485","7.40593731812628","4.16544712034153","4.16544712034153","2.58891519746513","11.5536153409116","6.65000837210783","3.3465445502169","3.3465445502169","2.19157552606948","-1.77","14.1792295427976","5.92217080779631","3.12023347671064","3.9986580607333","0.61905","0.5065","0.72855"
"fnkPB@FR@DIRoKkJ{JxHJW`u[RtmP@P@T@@@","c1ccc(-c2ccc(Cn3cnc(-c4ccsc4)c3)cc2)cc1","5.1157712303674","316.429","2","0","4","0","3","23","39","3","0","0.05","4","4","0","0","2","2","0","0","0","0","0","0","139.246771011053","17.82","5.3269","96.52","13.4091826122328","8.51360773066132","4.55962654255561","4.55962654255561","3.29954035310752","12.5926860313051","7.57079868907926","3.87639228163031","3.87639228163031","2.64987447954692","-2.65","13.9750246459014","6.22593434445987","3.09957196393721","3.78293851772134","0.65217","0.50384","0.70389"
"fmwH`@DRCtD|bbbVTTTRRrrQTmzIZmZijVjdHFX`@@","CC(=O)N=c1ccc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)c[nH]1","6.52287874528034","362.433","6","1","4","1","3","27","49","6","2","0.19047619047619","3","3","0","0","2","2","0","0","0","0","0","0","157.017075984992","70.46","2.6254","105.4637","15.6387468405104","8.64390863943858","4.34306437433496","4.34306437433496","2.88494942236711","15.6387468405104","8.64390863943858","4.34306437433496","4.34306437433496","2.88494942236711","-3.41","18.3831457692249","7.8649632309032","4.4120812676294","5.354917242344","0.62963","0.40338","0.77749"
"fakI@@DRCtBSLnsLj{k[tRuZuSTmUHPI@@@","CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1ccc(=N)[nH]c1","5.61978875828839","320.396","5","2","4","2","3","24","44","5","1","0.157894736842105","3","3","0","0","2","2","0","0","0","0","0","0","139.91569816956","64.88","2.65767","95.0744","13.7832849545466","7.74257089870669","4.08158280242218","4.08158280242218","2.65398965023294","13.7832849545466","7.74257089870669","4.08158280242218","4.08158280242218","2.65398965023294","-3.08","15.8019659548806","6.57978866990783","3.29820553464735","4.3322331896747","0.625","0.41351","0.75761"
"ek`RD@@DFON`GDfUm]VyyfUzNIEJnecffiYijiB`bh@@@","Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)c2ccccc2n1C","7.22184874961636","388.471","6","0","4","0","4","29","53","6","2","0.304347826086956","4","3","1","0","3","2","0","1","0","0","0","0","168.741129060256","67.56","1.80332","111.558","16.9752299720011","9.77325558413349","5.66661975097475","5.66661975097475","3.81873402306394","16.9752299720011","9.77325558413349","5.66661975097475","5.66661975097475","3.81873402306394","-3.28","19.0545644431685","7.62105942010689","3.70077794029208","5.00744716709114","0.58621","0.5164","0.8591"
"fakQC@MNZBPQHXdLbdLRVRbVTRVPiN|VmT@ETl@ED@@@","COc1ccc(-c2cn(Cc3ccc(C(F)(F)F)cc3)cn2)cc1","5.39040559077478","332.325","3","0","4","0","3","24","39","6","0","0.166666666666667","3","3","0","0","1","1","0","0","0","0","0","0","136.889349201657","27.05","4.6258","84.761","12.9171783735743","7.27871331349786","3.66543974331796","3.66543974331796","2.36736974872253","12.9171783735743","7.27871331349786","3.66543974331796","3.66543974331796","2.36736974872253","-2.76","16.1102871481006","6.39076917198009","3.58762396694215","4.28988026907619","0.66667","0.55901","0.68031"
"eolTL@@DC@DglbbbbRRftRRRRbJvdlt\|bzVNnZhJBRjH`@B`@@@","COc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1","6.43179827593301","412.489","5","1","4","1","4","31","55","5","1","0.192307692307692","5","4","1","0","2","1","0","1","0","0","0","0","180.65934425577","54.7","4.6023","120.5853","17.4147677224493","10.4403519210394","6.06769042332298","6.06769042332298","4.44835742706379","17.4147677224493","10.4403519210394","6.06769042332298","6.06769042332298","4.44835742706379","-3.73","19.2464005977013","7.83558737163012","3.52343029595582","4.8647372087962","0.54839","0.40489","0.86986"
"fdeQB@F\D@HRe^WVU|DEKpZVZZ@Bh@@","Cc1ccc(Cc2nc(-c3ccsc3)no2)cc1","4.29499204066666","256.33","3","0","3","0","4","18","30","4","0","0.142857142857143","3","3","0","0","2","2","0","0","0","0","0","0","109.100820562569","38.92","3.69732","71.596","10.7759790183693","6.66088987544545","3.40664963042105","3.40664963042105","2.35050180481448","9.95948243744157","5.71808083386338","2.72341536949575","2.72341536949575","1.71617268532839","-1.94","11.1676036688337","4.74060183094492","2.33316062482658","2.94117568887445","0.66667","0.5092","0.69646"
"fbmQ@@IF@eMklnljsfcIsP@TmP@D@@@","COc1ccc(-c2cn(Cc3ccccc3)cn2)cc1","5.94692155651658","264.328","3","0","4","0","3","20","36","3","0","0.117647058823529","3","3","0","0","1","1","0","0","0","0","0","0","118.027800878481","27.05","3.607","79.759","11.3606352237362","6.55108300146106","3.22700179685286","3.22700179685286","2.15165241902153","11.3606352237362","6.55108300146106","3.22700179685286","3.22700179685286","2.15165241902153","-2.55","12.4821105464542","5.61269595949128","2.71822702176647","3.50291457150036","0.7","0.49671","0.65788"
"ehZTB@@CH`DM@TfVuvyVyUV]|RPIKJjXy{yj@BZjfh`@@b@@@@","COC(=O)c1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1","5.69897000433602","440.499","6","1","4","1","5","33","57","6","1","0.185185185185185","5","4","1","0","2","1","0","1","0","0","0","0","191.185808470211","71.77","4.3803","125.3728","18.3230160129132","10.8944760662714","6.28366973245099","6.28366973245099","4.5815005088509","18.3230160129132","10.8944760662714","6.28366973245099","6.28366973245099","4.5815005088509","-4.06","20.8211225650287","8.46630002059184","3.84339560629974","5.3417536485166","0.54545","0.4178","0.87527"
"egdTL@@DC@GKlbbbbRRffbJRTVVtefg`RSTvqsUAPSEQ@@AP@@@@","O=C(c1cccc(O)c1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1","5.46852108295774","398.462","5","2","3","2","4","30","52","5","1","0.16","5","4","1","0","2","1","0","1","0","0","0","0","173.975090664063","65.7","4.2993","115.6981","16.4537330274854","10.0515862830936","5.82382617144167","5.82382617144167","4.35370410000309","16.4537330274854","10.0515862830936","5.82382617144167","5.82382617144167","4.35370410000309","-3.73","18.3082028105382","7.26312980082834","3.18160267473781","4.43249511442764","0.5","0.39188","0.87338"
"egdTDH@IGAK`HaIe]nUnUUg_hXl|BRZfvN`@fjijH@@H`@@@","O=C(c1ccc(Cl)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1","6.74472749489669","416.908","4","1","3","1","3","30","51","5","1","0.16","5","4","1","0","2","1","0","1","0","0","0","0","179.484123138748","45.47","5.2471","119.0433","17.1404128510131","10.3949261948575","6.07386987244874","6.07386987244874","4.43321551833647","16.3844839049947","10.0169617218483","5.82189355710926","5.82189355710926","4.30722736066673","-3.24","18.7674455366519","7.54180167734364","3.33295793734151","4.71801174092589","0.53333","0.39188","0.86986"
"ehZTBH@MJhDI`P@cIICLedhhhddlcMDeaIG@lfjngoeh@JhFBbf@BH`@@","CS(=O)(=O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1","6.48148606012211","460.555","6","1","4","1","5","33","57","7","1","0.192307692307692","5","4","1","0","2","1","0","1","0","0","0","0","192.17119740805","79.61","3.9972","127.1431","19.0477608843048","12.665096792431","7.38861074027954","7.38861074027954","5.18993905086098","18.231264303377","10.7736852543728","6.26014051305286","6.26014051305286","4.5594685381749","-3.58","21.2754093289225","8.08155308265108","4.00034694417985","5.21025302566114","0.51515","0.42557","0.87682"
"e`RTLD@M@bEO`HbRHrJJKQJVIJZIIIQY[LB^QIEC[WOPPQMUSTP@@Q@@@@","O=C(c1cc(Cl)cc(Cl)c1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1","5.74472749489669","467.352","5","2","3","2","4","32","52","7","1","0.16","5","4","1","0","2","1","0","1","0","0","0","0","194.581623117826","65.7","5.6061","125.7181","18.5668193271615","11.0188130354546","6.49564113269621","6.49564113269621","4.92495679589842","17.0549614351246","10.2628840894362","5.98930775361707","5.98930775361707","4.43154204793295","-3.15","20.7360231345376","8.07948081959017","3.5742561715314","5.23550941218982","0.46875","0.40435","0.8923"
"eolTLH@EOFIG`HcHhdhUMDeMDddhlmjNG@hlneckh@bZjfh`@@b@@@@","O=C(c1ccc(Cl)cc1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1","6.79588001734407","432.907","5","2","3","2","4","31","52","6","1","0.16","5","4","1","0","2","1","0","1","0","0","0","0","184.278356890945","65.7","4.9527","120.7081","17.5102761773235","10.5351996592741","6.15600541217793","6.15600541217793","4.55451908034481","16.754347231305","10.1572351862649","5.92090830939019","5.92090830939019","4.38817552530351","-3.44","19.5191708552804","7.67124896638021","3.50998704745399","4.83020707252156","0.51613","0.39979","0.88315"
"fewq`@DL|AvTfUm]VyueZ\djJQsZZeffjh@J`@@","O=C1CCc2cc(=CCC(=O)N3CC(Oc4ccccc4)C3)cnc2=N1","6.0","349.39","6","0","4","0","4","26","45","6","2","0.3","4","2","2","1","3","1","1","2","0","0","0","0","150.383104582492","71.86","0.6344","94.866","14.2980719865308","8.73394549294568","4.56191050833451","4.56191050833451","3.07557365630994","14.2980719865308","8.73394549294568","4.56191050833451","4.56191050833451","3.07557365630994","-3.02","16.4485305982395","7.07464809446353","3.63811115893259","4.47567560206001","0.69231","0.46156","0.76856"
"fmoq`@DL|AvTfUm]VyuYVgIJbfZvfiYijj`@j@@@","O=C1CCc2cc(=CCC(=O)N3CC(OCc4ccccc4)C3)cnc2=N1","7.30102999566398","363.417","6","0","5","0","4","27","48","6","2","0.333333333333333","4","2","2","1","3","1","1","2","0","0","0","0","156.748046696889","71.86","0.7722","99.027","15.0051787677174","9.17204987290184","4.84448283548297","4.84448283548297","3.20324636582093","15.0051787677174","9.17204987290184","4.84448283548297","4.84448283548297","3.20324636582093","-2.86","17.5486732784888","7.79753280011351","4.28255566107418","5.06801316620342","0.7037","0.48693","0.76856"
"flup`@DL|ArSJvnk\tyITTmMRsSUU@@@","O=C1CCc2cc(=CCC(=O)N3CCC3)cnc2=N1","4.95860731484177","257.293","5","0","2","0","3","19","34","5","2","0.428571428571428","3","1","2","1","3","1","1","2","0","0","0","0","110.212465146921","62.63","-0.423099999999999","68.625","10.6328288621158","6.56693890386755","3.52397507896425","3.52397507896425","2.23337527286177","10.6328288621158","6.56693890386755","3.52397507896425","3.52397507896425","2.23337527286177","-2.04","12.0175228328794","4.91423927304106","2.54484230424833","3.10826224578965","0.68421","0.42413","0.74343"
