molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL3623406,5.7235384,0.091321118,0.99136019,O=c1cc(/C=C/c2ccoc2)occ1Oc1ccc(Cl)cc1Cl
CHEMBL3623407,5.6903696,0.087024614,0.99337143,O=c1cc(/C=C/c2cccnc2)occ1Oc1ccc(Cl)cc1Cl
CHEMBL3623408,5.273273,0.090675823,0.96809113,Cc1ccc(Oc2coc(/C=C/c3ccccc3)cc2=O)c(C)c1
CHEMBL3623409,5.4584208,0.088081464,0.9855637,Cc1ccc(Oc2coc(/C=C/c3cccnc3)cc2=O)c(C)c1
CHEMBL3623410,5.1719851,0.11242989,0.96723396,O=c1cc(/C=C/c2ccccc2)occ1Oc1cccc(Cl)c1Cl
CHEMBL3623411,5.2456517,0.11411913,0.97124106,O=c1cc(/C=C/c2ccoc2)occ1Oc1cccc(Cl)c1Cl
CHEMBL3623412,5.4634414,0.11017273,0.96311361,O=c1cc(/C=C/c2cccnc2)occ1Oc1cccc(Cl)c1Cl
CHEMBL3623413,5.3196645,0.18592516,0.98573917,O=c1cc(/C=C/c2ccccc2)occ1Oc1c(Cl)cccc1Cl
CHEMBL3623414,5.3851027,0.20420976,0.99558818,O=c1cc(/C=C/c2ccoc2)occ1Oc1c(Cl)cccc1Cl
CHEMBL3623415,5.4271283,0.18555501,0.98835987,O=c1cc(/C=C/c2cccnc2)occ1Oc1c(Cl)cccc1Cl
CHEMBL3623416,5.7399287,0.13490205,0.97933191,O=c1cc(COc2ccccc2)[nH]cc1Oc1ccc(Cl)cc1Cl
CHEMBL3623417,6.9208188,0.12713623,0.97864491,Cn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1
CHEMBL3623418,6.318759,0.13044208,0.9584626,O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1ccc(Cl)cc1Cl
CHEMBL3623419,5.90309,0.17442462,0.89935869,CCCCn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1
CHEMBL3623420,5.8477116,0.21141326,0.88614696,O=c1cc(COc2ccccc2)n(Cc2ccccc2)cc1Oc1ccc(Cl)cc1Cl
CHEMBL3623421,6.3979402,0.15878932,0.91529703,Cc1cc(Cl)ccc1Oc1c[nH]c(COc2ccccc2)cc1=O
CHEMBL3623422,6.9586072,0.10360184,0.94987839,Cc1cc(Cl)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O
CHEMBL3623423,6.3279023,0.14436376,0.94579667,Cc1cc(Cl)ccc1Oc1cn(C2CC2)c(COc2ccccc2)cc1=O
CHEMBL3623424,6.2006593,0.25024828,0.94643146,CCCCn1cc(Oc2ccc(Cl)cc2C)c(=O)cc1COc1ccccc1
CHEMBL3623425,6.1870866,0.32802689,0.79219866,Cc1cc(Cl)ccc1Oc1cn(Cc2ccccc2)c(COc2ccccc2)cc1=O
CHEMBL3623426,5.9430952,0.14850591,0.9376756,Cc1ccc(Oc2c[nH]c(COc3ccccc3)cc2=O)c(C)c1
CHEMBL3623427,7.09691,0.15374181,0.92386234,Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1
CHEMBL3623428,5.4989409,0.14458643,0.92254353,Cc1ccc(Oc2cn(C3CC3)c(COc3ccccc3)cc2=O)c(C)c1
CHEMBL3623429,6.0,0.21182582,0.8810423,CCCCn1cc(Oc2ccc(C)cc2C)c(=O)cc1COc1ccccc1
CHEMBL3623430,5.5702477,0.2672196,0.84325808,Cc1ccc(Oc2cn(Cc3ccccc3)c(COc3ccccc3)cc2=O)c(C)c1
CHEMBL3623431,6.0757208,0.13769805,0.94222498,O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc(Cl)c1Cl
CHEMBL3623432,6.6575775,0.11163011,0.98242265,Cn1cc(Oc2cccc(Cl)c2Cl)c(=O)cc1COc1ccccc1
CHEMBL3676395,5.2596374,0.072096273,0.93673557,O=C1CCc2c/c(=C/CC(=O)N3CCCC3)cnc2=N1
CHEMBL3676396,5.004365,0.070728697,0.97647506,O=C1CCc2c/c(=C/CC(=O)N3CCCCC3)cnc2=N1
CHEMBL3676397,5.2757239,0.060484432,0.98298079,O=C1CCc2c/c(=C/CC(=O)N3CCC(CCO)CC3)cnc2=N1
CHEMBL3676398,6.6020598,0.076488249,0.98141575,CC(C)(C)OC(=O)N1CCC(COc2ccc(F)cc2)CC1
CHEMBL3676399,6.0,0.30957061,0.8071661,CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1
CHEMBL3676400,5.1487417,0.17629965,0.88384342,O=C1CCc2c/c(=C/CC(=O)N3CCC[C@@H]3c3ccccc3)cnc2=N1
CHEMBL3676401,7.3872161,0.074303016,0.98312342,CCCC1CCN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)CC1
CHEMBL3676402,5.8860564,0.14286385,0.89062756,CC(C)(C)OC(=O)N1CCC[C@@H](COc2ccc(F)cc2)C1
