NEW_SMILES,similarity,ppIC$_{50}$ SVR,ppIC$_{50}$ Ridge,ppIC$_{50}$ RFR,mean,std
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(NS(C)(=O)=O)c1,0.709090909090909,6.82826819289194,6.54809890064775,6.30060469337927,6.55899059563965,0.264000310500455
Cc1cc(NS(C)(=O)=O)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.709090909090909,6.46371681516169,6.30859131020561,6.41833449930111,6.39688087488947,0.0797569688006404
CC(=O)Nc1cc(C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.709090909090909,6.76943847927236,6.72484370348935,6.31825034017115,6.60417750764429,0.248622067265145
CC(=O)Nc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,0.709090909090909,6.35275278626505,6.52413453344487,6.36817865706271,6.41502199225755,0.0948084877831826
Cc1cn(O)cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.705882352941177,6.43979221993276,6.84055651008488,6.26655285294151,6.51563386098638,0.294421492917502
Cc1cn(N)cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.705882352941177,6.36440780147748,6.77755691609499,6.31263753428939,6.48486741728729,0.254794813870707
Cc1ccc(Oc2cn(C)c(COc3cnoc3)cc2=O)c(C)c1,0.703703703703704,6.49858788644163,6.7490478048747,6.35661977233381,6.53475182121671,0.198697792677198
Cc1ccc(Oc2cn(C)c(COc3cc4cc[nH]n4c3)cc2=O)c(C)c1,0.703703703703704,6.4233071425691,6.71413278166789,6.40354219968509,6.51366070797402,0.173894946706741
CCn1cc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)ccc1=O,0.703703703703704,6.60211297363776,6.57183495644299,6.42033898506826,6.53142897171634,0.097390597243337
CNn1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)c1,0.703703703703704,6.36814823344566,6.60138620610072,6.41937416198041,6.46296953384226,0.122578159995535
Cc1ccc(Oc2cn(C)c(COC3=CC(=O)c4ccccc43)cc2=O)c(C)c1,0.703703703703704,6.35534622014605,6.16916410298904,6.35352847586917,6.29267959966808,0.106971419026148
Cc1ccc(Oc2cn(C)c(COc3cc[s+]([O-])c3)cc2=O)c(C)c1,0.703703703703704,6.37023747340843,6.20997889394963,6.3185678811975,6.29959474951852,0.0817966250331834
Cc1ccc(Oc2cn(C)c(COc3cnsc3)cc2=O)c(C)c1,0.703703703703704,6.41819714895764,6.50338587115003,6.33388959606132,6.41849087205633,0.0847485192919671
COc1ccc(OCc2cc(=O)c(Oc3ccc(OC)cc3C)cn2C)cc1,0.7,6.43840415351396,6.72356851325512,6.39129478731005,6.51775581802638,0.179788687725402
Cc1cc(Oc2cn(C)c(COc3ccccc3)cc2=O)n(C)c1,0.7,6.45852973797782,6.7720283730298,6.26629209297643,6.49895006799468,0.255279549806794
Cc1cc(C)c([S+](C)[O-])cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.69811320754717,6.25673162467804,6.72879675301134,6.31736563637201,6.43429800468713,0.256838967870765
Cc1cc(Cl)ncc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.69811320754717,6.55130418170193,6.83335073226473,6.2828026016692,6.55581917187862,0.275301834134426
Cc1ccc(Oc2cn(C)c(COc3ccco3)cc2=O)c(C)c1,0.69811320754717,6.32168110823598,6.37592614088069,6.27821695286503,6.3252747339939,0.048953620552884
CNc1cc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)cc1C,0.69811320754717,6.17141078106902,6.28082612433466,6.33068158863227,6.26097283134532,0.0814703164800077
Cc1ccc(Oc2cn(C)c(COc3ccc[nH]3)cc2=O)c(C)c1,0.69811320754717,6.26331852958655,6.5835577767352,6.34722461170469,6.39803363934215,0.166055598582772
