NEW_SMILES,pIC50,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4)C3)cnc2=N1,6.576754126063192,363.417,6,0,5,0,4,27,48,6,2,0.3333333333333333,4,2,2,1,3,1,1,2,0,0,0,0,156.7480466968888,71.86,0.8819999999999997,99.43500000000004,15.00517876771739,9.195166657608842,4.853991029822581,4.853991029822581,3.277459798584513,-3.02,17.39663841266161,7.696539094742637,4.216221615942774,4.95903361704265,280.77,0.7037,0.48773,0.77309
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4F)C3)cnc2=N1,6.422508200162775,381.407,6,0,5,0,4,28,48,7,2,0.3333333333333333,4,2,2,1,3,1,1,2,0,0,0,0,160.913582099815,71.86,1.0211,99.39300000000004,15.30579297153699,9.300815560780123,4.936273851536257,4.936273851536257,3.316082385081827,-3.09,18.28155809076135,7.878912890385225,4.081387091323723,5.144242989200926,287.12,0.67857,0.45946,0.79105
O=C1CCc2cc(=CCC(=O)N3CC(COc4cccc(F)c4)C3)cnc2=N1,6.3585258894959,381.407,6,0,5,0,4,28,48,7,2,0.3333333333333333,4,2,2,1,3,1,1,2,0,0,0,0,160.913582099815,71.86,1.0211,99.39300000000003,15.30579297153699,9.294832496636417,4.906868209015795,4.906868209015795,3.317522774727499,-3.09,18.28155809076135,7.878912890385225,4.24329914896748,5.144242989200926,287.12,0.67857,0.49129,0.78878
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc(F)cc4)C3)cnc2=N1,6.500312917381597,381.407,6,0,5,0,4,28,48,7,2,0.3333333333333333,4,2,2,1,3,1,1,2,0,0,0,0,160.913582099815,71.86,1.0211,99.39300000000003,15.30579297153699,9.294832496636417,4.924423631936766,4.924423631936766,3.291561232184772,-3.09,18.28155809076135,7.878912890385225,4.24329914896748,5.144242989200926,287.12,0.71429,0.49129,0.78295
Cc1ccccc1OCC1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1,6.752026733638194,377.4440000000002,6,0,5,0,4,28,51,6,2,0.3636363636363636,4,2,2,1,3,1,1,2,0,0,0,0,163.1129888112854,71.86,1.19042,104.172,15.92782849852776,9.611833324275512,5.193215769231903,5.193215769231903,3.472665622859198,-3.02,18.3482805189656,7.922525539908525,4.10896886229513,5.191597179461108,293.03,0.67857,0.45946,0.78589
Cc1ccc(OCC2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)cc1,6.035740369803151,377.4440000000002,6,0,5,0,4,28,51,6,2,0.3636363636363636,4,2,2,1,3,1,1,2,0,0,0,0,163.1129888112853,71.86,1.19042,104.172,15.92782849852776,9.605850260131806,5.131768807600356,5.131768807600356,3.395233820016564,-3.02,18.3482805189656,7.922525539908523,4.271749116300501,5.191597179461107,293.03,0.71429,0.49129,0.77749
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc5ccccc5c4)C3)cnc2=N1,5.85078088734462,413.4770000000001,6,0,5,0,4,31,54,6,2,0.28,5,3,2,1,3,1,1,2,0,0,0,0,179.429711228624,71.86,2.0352,116.941,17.15987930609663,10.59986719598809,5.831716308778281,5.831716308778281,4.017930115359094,-3.54,19.42507820908214,8.299420624562448,4.330783361304648,5.200544991038545,315.37,0.67742,0.46323,0.80548
O=C1CCc2cc(=CCC(=O)N3CC(c4nc5ccccc5s4)C3)cnc2=N1,6.428291168191312,390.4680000000001,6,0,3,0,5,28,46,7,2,0.2857142857142857,5,3,2,1,4,2,1,2,0,0,0,0,164.8112351360785,75.52000000000001,1.5803,106.369,15.9844318937689,10.17141935547126,6.408020011193596,6.408020011193596,4.620712546576508,-2.93,17.18764800549638,6.905919884417724,3.220463038790778,4.239161433126075,286.31,0.64286,0.42708,0.83354
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)sc2ccccc12,6.149353764816934,403.5070000000001,5,0,3,0,4,29,50,6,2,0.3043478260869565,5,3,2,1,4,2,1,2,0,0,0,0,171.9565292695285,62.63,2.493720000000001,113.311,17.03721829826894,10.72420575997131,7.236171949957734,7.236171949957734,5.391901463797124,-2.86,18.1865212331394,7.189798107556484,3.376624967930545,4.508876411898672,299.81,0.62069,0.42772,0.86153
Cc1c(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)oc2ccccc12,6.85078088734462,387.4390000000001,6,0,3,0,4,29,50,6,2,0.3043478260869565,5,3,2,1,4,2,1,2,0,0,0,0,167.1104952631939,75.77000000000001,2.025219999999999,107.7,16.22072171734121,9.90770917904358,5.800830026847382,5.800830026847382,4.098490446099339,-3.28,17.79386481997069,6.954633465714715,3.243792169929196,4.267234750392134,293.56,0.62069,0.42772,0.86492
