NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
O=c1cc(COc2ccccc2)n(C2CC2)cc1Oc1ccc(Cl)cc1Cl,6.31875876262441,0.59259,0.35731,0.78589
CCCCn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1,5.90308998699194,0.57143,0.39636,0.77811
O=c1cc(COc2ccccc2)n(Cc2ccccc2)cc1Oc1ccc(Cl)cc1Cl,5.84771165561694,0.51613,0.38847,0.78935
Cc1cc(Cl)ccc1Oc1c[nH]c(COc2ccccc2)cc1=O,6.39794000867204,0.66667,0.37949,0.73284
Cc1cc(Cl)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,6.95860731484177,0.64,0.37236,0.75761
Cc1cc(Cl)ccc1Oc1cn(C2CC2)c(COc2ccccc2)cc1=O,6.32790214206428,0.59259,0.35731,0.78821
CCCCn1cc(Oc2ccc(Cl)cc2C)c(=O)cc1COc1ccccc1,6.20065945054642,0.57143,0.39636,0.78055
Cc1cc(Cl)ccc1Oc1cn(Cc2ccccc2)c(COc2ccccc2)cc1=O,6.18708664335714,0.51613,0.38847,0.79105
Cc1ccc(Oc2c[nH]c(COc3ccccc3)cc2=O)c(C)c1,5.94309514866353,0.66667,0.37949,0.72942
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,7.09691001300806,0.64,0.37236,0.75474
Cc1ccc(Oc2cn(C3CC3)c(COc3ccccc3)cc2=O)c(C)c1,5.49894073778225,0.59259,0.35731,0.78589
CCCCn1cc(Oc2ccc(C)cc2C)c(=O)cc1COc1ccccc1,6,0.57143,0.39636,0.77811
Cc1ccc(Oc2cn(Cc3ccccc3)c(COc3ccccc3)cc2=O)c(C)c1,5.57024771999759,0.51613,0.38847,0.78878
O=c1cc(COc2ccccc2)[nH]cc1Oc1cccc(Cl)c1Cl,6.07572071393812,0.625,0.37949,0.74185
Cn1cc(Oc2cccc(Cl)c2Cl)c(=O)cc1COc1ccccc1,6.65757731917779,0.6,0.37236,0.76523
O=C1CCc2cc(=CCC(=O)N3CCCC3)cnc2=N1,5.25963731050576,0.65,0.42959,0.74806
O=C1CCc2cc(=CCC(=O)N3CCCCC3)cnc2=N1,5.00436480540245,0.66667,0.45631,0.75107
O=C1CCc2cc(=CCC(=O)N3CCC(CCO)CC3)cnc2=N1,5.27572413039921,0.70833,0.50469,0.75832
CC(C)(C)OC(=O)N1CCC(COc2ccc(F)cc2)CC1,6.60205999132796,0.68182,0.51524,0.58727
CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1,6,0.5,0.5241,0.61487
O=C1CCc2cc(=CCC(=O)N3CCCC3c3ccccc3)cnc2=N1,5.14874165128093,0.61538,0.46637,0.79871
CCCC1CCN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)CC1,7.38721614328027,0.70833,0.497,0.75832
CC(C)(C)OC(=O)N1CCCC(COc2ccc(F)cc2)C1,5.88605664769316,0.63636,0.51611,0.63466
O=C1CCc2cc(=CCC(=O)N3CCC(Oc4ccccc4)C3)cnc2=N1,6.92081875395237,0.66667,0.45359,0.78763
Cc1nc(C2CC(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)no1,6.82390874094432,0.68,0.42847,0.78706
O=C1CCc2cc(=CCC(=O)N3CC(OCc4cccs4)C3)cnc2=N1,7.88605664769316,0.69231,0.48609,0.77181
Cc1nc(C2CCCCN2C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)no1,5.38721614328027,0.59259,0.46328,0.83186
O=C1CCc2cc(=CCC(=O)N3CCC(O)(c4ccccc4)CC3)cnc2=N1,6.46852108295774,0.64286,0.46747,0.78878
CCCCCOC1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1,7.60205999132796,0.76,0.50832,0.76182
O=C1CCc2cc(=CCC(=O)N3CCC(Oc4cccnc4)C3)cnc2=N1,6.03151705144607,0.66667,0.45359,0.79602
O=C1CCc2cc(=CCC(=O)N3CCCCC3c3nc4ccccc4o3)cnc2=N1,5.74472749489669,0.56667,0.43026,0.8591
C=C(C)COC1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1,6.76955107862173,0.70833,0.50259,0.76251
O=C1CCc2cc(=CCC(=O)N3CC(OCc4nccs4)C3)cnc2=N1,7.24412514432751,0.69231,0.45294,0.77181
CC(Cc1ncccn1)=NOC1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1,6.06048074738138,0.7,0.50506,0.77625
CCCCCS(=O)(=O)C1CN(C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)C1,5.06550154875643,0.7037,0.55532,0.78115
N=c1ccc(C=CC(=O)N2CC(OCc3ccncc3)C2)c[nH]1,5.74472749489669,0.73913,0.37557,0.63962
CC(=O)N=c1ccc(C=CC(=O)N2CC(OCc3ccncc3)C2)c[nH]1,6.58502665202918,0.73077,0.36645,0.68153
COC(=O)C1Cc2cc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O,7.22184874961636,0.64706,0.49796,0.82973
O=C1N=c2ncc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cc2CC1CO,7.09151498112135,0.65625,0.49218,0.807
COC(=O)c1cc2cc(C=CC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2[nH]c1=O,6.25963731050576,0.64706,0.39129,0.83313
NC(=O)C1Cc2cc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O,7.10790539730952,0.63636,0.48418,0.81291
CCc1cc(OC(=O)OC)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F,5.30102999566398,0.51613,0.49995,0.8024
O=C1CCc2cc(=CCC(=O)N3CCCC(COc4ccc(F)cc4)C3)cnc2=N1,5.88605664769316,0.66667,0.48955,0.78706
Cc1nc(C2CN(C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)C2)no1,6.82390874094432,0.68,0.46224,0.78878
CC(=O)N=c1ccc(C=CC(=O)N2CCC(c3ccc4c(c3)OCO4)C2)c[nH]1,5.95860731484177,0.64286,0.31949,0.77052
COc1ccccc1C1CCN(C(=O)Cc2ccccc2Cl)C1,6.30102999566398,0.56522,0.43193,0.72323
O=C(Cc1c(F)cccc1F)N1CCC(c2ccccc2)C1,5.72124639904717,0.59091,0.5184,0.67279
O=C(Cc1ccccc1Cl)N1CCC(c2nccs2)C1,5.22184874961636,0.6,0.51766,0.71485
O=C(Cc1ccccc1Cl)N1CCC(c2ccccc2)C1,4.97061622231479,0.61905,0.51889,0.6621
O=C(Cc1c(F)cccc1F)N1CCC(c2ccc3c(c2)OCO3)C1,5.63827216398241,0.56,0.46933,0.74264
CC(=O)N=c1ccc(C=CC(=O)N2CCC(c3nccs3)C2)c[nH]1,5.34678748622466,0.66667,0.29142,0.74264
COc1ccc(C2CCN(C(=O)Cc3ccccc3Cl)C2)cc1,4.90308998699194,0.65217,0.5219,0.68153
CC(=O)N=c1ccc(C=CC(=O)N2CCC(c3ccccc3)C2)c[nH]1,5.92081875395237,0.68,0.31416,0.71581
COc1ccccc1C1CCN(C(=O)Cc2ccccc2F)C1,5.33724216831843,0.56522,0.43193,0.72323
O=C(Cc1c(F)cccc1Cl)N1CCC(c2ccc3c(c2)OCO3)C1,5.74472749489669,0.56,0.46933,0.76387
COc1ccccc1C1CCN(C(=O)Cc2cccc(F)c2F)C1,5.52287874528034,0.54167,0.44561,0.74577
O=C(Cc1ccccc1F)N1CCC(c2ccccc2)C1,5.30102999566398,0.61905,0.51889,0.6621
